"","NO_","POI","NOMBRE_POI","ESPECIALID","DIRECCION","NUMEXT","INTERIOR","CP","SENAS","COLONIA","DELEGACION","SECTOR","LATITUDE","LONGITUDE","TIPO","PROY_CART","CREACION","ACTUALIZAC","COB1_STV","COB2_TOTEM","FUENTE","ID_ESTADO","IDENT_CATE","IDENT_SUBC","IDENT_POI","INFORMACIO"
"82","C5-25-00082","PANTEONES","PANTEON SAN PABLO HUILOTEPEC","PANTEON - CEMENTERIO","CJON. BENITO JUAREZ","SN","SN",12300,"MONTE ALEGRE","ZONA RUSTICA MILPA ALTA","MILPA ALTA","MILPA ALTA",19.1813,-99.0846,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","","STREET VIEW",9,"VERDADERO",25,"C5-25-00082","PANTEON SAN PABLO HUILOTEPEC, CJON. BENITO JUAREZ, MONTE ALEGRE, ZONA RUSTICA MILPA ALTA, MILPA ALTA"
"83","C5-25-00083","PANTEONES","PANTEON ISRAELITA","PANTEON - CEMENTERIO","SUR 144","SN","SN",11810,"AV CONSTITUYENTES","16 DE SEPTIEMBRE","MIGUEL HIDALGO","TACUBAYA",19.4028394,-99.20618642,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC9285, MC9284, MC9297","STREET VIEW",9,"VERDADERO",25,"C5-25-00083","PANTEON ISRAELITA, SUR 144, AV CONSTITUYENTES, 16 DE SEPTIEMBRE, MIGUEL HIDALGO"
"84","C5-25-00084","PANTEONES","PANTEON ISRAELITA ALIANZA MONTE SINAI","PANTEON - CEMENTERIO","CALZ MEXICO TACUBA","SN","SN",11270,"AV 1151","ARGENTINA PONIENTE","MIGUEL HIDALGO","TACUBA",19.45999666,-99.20011585,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","7351","","STREET VIEW",9,"VERDADERO",25,"C5-25-00084","PANTEON ISRAELITA ALIANZA MONTE SINAI, CALZ MEXICO TACUBA, AV 1151, ARGENTINA PONIENTE, MIGUEL HIDALGO"
"85","C5-25-00085","PANTEONES","PANTEON MILPA ALTA","PANTEON - CEMENTERIO","GUANAJUATO ORIENTE","SN","SN",12933,"PROL. GUANAJUATO","SAN AGUSTIN 481","MILPA ALTA","MILPA ALTA",19.1894,-99.0132,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","525","MC19145,MC19074","STREET VIEW",9,"VERDADERO",25,"C5-25-00085","PANTEON MILPA ALTA, GUANAJUATO ORIENTE, PROL. GUANAJUATO, SAN AGUSTIN 481, MILPA ALTA"
"86","C5-25-00086","PANTEONES","PANTEON SAN ANTONIO TECOMITL","PANTEON - CEMENTERIO","12 DE OCTUBRE","SN","SN",12100,"20 DE NOVIEMBRE","XOCHITEPEC","MILPA ALTA","TECOMITL",19.2132,-98.9822,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","16368","MC19076,MC19077,MC19078,MC19075","STREET VIEW",9,"VERDADERO",25,"C5-25-00086","PANTEON SAN ANTONIO TECOMITL, 12 DE OCTUBRE, 20 DE NOVIEMBRE, XOCHITEPEC, MILPA ALTA"
"87","C5-25-00087","PANTEONES","PANTEON SAN BARTOLOME XICOMULCO","PANTEON - CEMENTERIO","FRANCISCO I MADERO SUR","SN","SN",12250,"VENUSTIANO CARRANZA","SAN BARTOLOME XICOMULCO","MILPA ALTA","MILPA ALTA",19.2014,-99.0684,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC19079","STREET VIEW",9,"VERDADERO",25,"C5-25-00087","PANTEON SAN BARTOLOME XICOMULCO, FRANCISCO I MADERO SUR, VENUSTIANO CARRANZA, SAN BARTOLOME XICOMULCO, MILPA ALTA"
"88","C5-25-00088","PANTEONES","PANTEON DE SAN FRANCISCO TECOXPA","PANTEON - CEMENTERIO","INDEPENDENCIA","SN","SN",12700,"1A INDEPENDENCIA","SAN FRANCISCO TECOXPA","MILPA ALTA","TECOMITL",19.195,-99.0036,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC19080","STREET VIEW",9,"VERDADERO",25,"C5-25-00088","PANTEON DE SAN FRANCISCO TECOXPA, INDEPENDENCIA, 1A INDEPENDENCIA, SAN FRANCISCO TECOXPA, MILPA ALTA"
"89","C5-25-00089","PANTEONES","PANTEON SAN JERONIMO MIACATLAN","PANTEON - CEMENTERIO","ESPAï¿½A","SN","SN",12610,"3RA CDA ESPAï¿½A","SAN JERONIMO MIACATLAN","MILPA ALTA","TECOMITL",19.19067457,-99.00103132,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","16404","MC19081,MC19082","STREET VIEW",9,"VERDADERO",25,"C5-25-00089","PANTEON SAN JERONIMO MIACATLAN, ESPAï¿½A, 3RA CDA ESPAï¿½A, SAN JERONIMO MIACATLAN, MILPA ALTA"
"90","C5-25-00090","PANTEONES","PANTEON SAN PABLO OZTOTEPEC","PANTEON - CEMENTERIO","VICENTE GUERRERO","SN","SN",12420,"ENTRE CJON VICENTE GUERRERO Y PROGRESO","CHALMITA (SAN PABLO OZTOTEPEC)","MILPA ALTA","MILPA ALTA",19.1758,-99.0707,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC19087,MC19086","STREET VIEW",9,"VERDADERO",25,"C5-25-00090","PANTEON SAN PABLO OZTOTEPEC, VICENTE GUERRERO, ENTRE CJON VICENTE GUERRERO Y PROGRESO, CHALMITA (SAN PABLO OZTOTEPEC), MILPA ALTA"
"91","C5-25-00091","PANTEONES","PANTEON SAN PEDRO ATOCPAN","PANTEON - CEMENTERIO","PROL JUSTO SIERRA","SN","SN",12200,"VENUSTIANO CARRANZA","OCOTITLA","MILPA ALTA","MILPA ALTA",19.2015,-99.0552,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC19153,MC19154","STREET VIEW",9,"VERDADERO",25,"C5-25-00091","PANTEON SAN PEDRO ATOCPAN, PROL JUSTO SIERRA, VENUSTIANO CARRANZA, OCOTITLA, MILPA ALTA"
"92","C5-25-00092","PANTEONES","PANTEON SAN SALVADOR CUAUHTENCO","PANTEON - CEMENTERIO","PROL. JALAPA","SN","SN",12300,"ENTRE CDA. CAPULIN Y CALLE PRIVADA","ZONA RUSTICA MILPA ALTA","MILPA ALTA","MILPA ALTA",19.1837,-99.0938,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","16439","","STREET VIEW",9,"VERDADERO",25,"C5-25-00092","PANTEON SAN SALVADOR CUAUHTENCO, PROL. JALAPA, ENTRE CDA. CAPULIN Y CALLE PRIVADA, ZONA RUSTICA MILPA ALTA, MILPA ALTA"
